,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2020-03-06 06:29:59,2.65545060163e-07,1.14955125716e-08,1.02187859877e-08,1.02187859877e-08
2020-03-06 06:44:59,2.65846431861e-07,8.72166938994e-09,7.16916512145e-09,7.16916512145e-09
2020-03-06 06:59:59,2.82626755113e-07,8.37756989691e-09,6.79177136921e-09,6.79177136921e-09
2020-03-06 07:14:59,2.73793673722e-07,8.64535876158e-09,7.20284681466e-09,7.20284681466e-09
2020-03-06 07:29:59,2.62332599688e-07,8.59711767584e-09,7.19578718438e-09,7.19578718438e-09
2020-03-06 07:44:59,2.69146796338e-07,8.02373939749e-09,6.66950499015e-09,6.66950499015e-09
2020-03-06 07:59:59,2.91700352051e-07,9.17800365107e-09,7.87139778648e-09,7.87139778648e-09
2020-03-06 08:14:59,3.03239686463e-07,9.13514110882e-09,7.77942610484e-09,7.77942610484e-09
2020-03-06 08:29:59,2.83078698759e-07,7.12297122115e-09,5.70776647919e-09,5.70776647919e-09
2020-03-06 08:44:59,2.67076179821e-07,7.85404118e-09,6.35868334237e-09,6.35868334237e-09
2020-03-06 08:59:59,2.63367439859e-07,9.5693067995e-09,7.96544175762e-09,7.96544175762e-09
2020-03-06 09:14:59,2.53935068414e-07,1.27284580594e-08,1.16959444215e-08,1.16959444215e-08
2020-03-06 09:29:59,2.54651776773e-07,1.32038669423e-08,1.25232914671e-08,1.25232914671e-08
2020-03-06 09:44:59,2.65097886506e-07,7.31678458858e-09,6.25562251464e-09,6.25562251464e-09
2020-03-06 09:59:59,2.70058859427e-07,7.83073236985e-09,5.73682102794e-09,5.73682102794e-09
2020-03-06 10:14:59,2.78064969343e-07,6.10852709619e-09,4.55289519441e-09,4.55289519441e-09
2020-03-06 10:29:59,3.02318010493e-07,6.05554244628e-09,4.86490944034e-09,4.86490944034e-09
2020-03-06 10:44:59,2.61781145049e-07,1.14056425287e-08,1.08111744762e-08,1.08111744762e-08
2020-03-06 10:59:59,2.54803625689e-07,1.04765410416e-08,9.83157468385e-09,9.83157468385e-09
2020-03-06 11:14:59,2.62653678533e-07,5.44954662318e-09,4.33791864203e-09,4.33791864203e-09
2020-03-06 11:29:59,2.55652053578e-07,5.96393980367e-09,4.81889618618e-09,4.81889618618e-09
2020-03-06 11:44:59,2.57621564473e-07,5.05150106854e-09,3.99766499174e-09,3.99766499174e-09
2020-03-06 11:59:59,2.54046329329e-07,8.04370120302e-09,7.21525666955e-09,7.21525666955e-09
2020-03-06 12:14:59,2.52975177838e-07,6.34506923721e-09,4.97711112076e-09,4.97711112076e-09
2020-03-06 12:29:59,2.47590347867e-07,5.84050798166e-09,4.60638827366e-09,4.60638827366e-09
2020-03-06 12:44:59,2.46888399536e-07,6.30984887898e-09,5.39372291361e-09,5.39372291361e-09
2020-03-06 12:59:59,2.45205147068e-07,4.30496692063e-09,3.06087574412e-09,3.06087574412e-09
2020-03-06 13:14:59,2.52203054823e-07,4.33843127157e-09,3.1362004958e-09,3.1362004958e-09
2020-03-06 13:29:59,2.6711691829e-07,5.24303994064e-09,3.99353452059e-09,3.99353452059e-09
2020-03-06 13:44:59,2.69661511857e-07,5.01488530847e-09,3.66036543754e-09,3.66036543754e-09
2020-03-06 13:59:59,2.52118108185e-07,4.77862178241e-09,3.42198456849e-09,3.42198456849e-09
2020-03-06 14:14:59,2.2443432758e-07,3.7060250073e-09,2.64287631504e-09,2.64287631504e-09
2020-03-06 14:29:59,2.2313356238e-07,3.15577985398e-09,1.95356748225e-09,1.95356748225e-09
2020-03-06 14:44:59,2.27920448468e-07,3.42126034905e-09,2.17023103378e-09,2.17023103378e-09
2020-03-06 14:59:59,2.33239763301e-07,3.36092100757e-09,2.10830939627e-09,2.10830939627e-09
2020-03-06 15:14:59,2.27911269109e-07,3.70678485802e-09,2.69006606029e-09,2.69006606029e-09
2020-03-06 15:29:59,2.30229772717e-07,3.40216166392e-09,2.20832431382e-09,2.20832431382e-09
2020-03-06 15:44:59,2.22587264863e-07,4.185830552e-09,2.85026655927e-09,2.85026655927e-09
2020-03-06 15:59:59,2.11795307454e-07,4.04907093122e-09,2.63486333836e-09,2.63486333836e-09
2020-03-06 16:14:59,2.2607915489e-07,4.11540076443e-09,2.60355056882e-09,2.60355056882e-09
2020-03-06 16:29:59,2.17371499858e-07,4.11191672832e-09,2.90763820281e-09,2.90763820281e-09
2020-03-06 16:44:59,1.88949797473e-07,4.8101665303e-09,3.59792895089e-09,3.59792895089e-09
2020-03-06 16:59:59,1.98770522325e-07,4.73685672766e-09,3.55629005971e-09,3.55629005971e-09
2020-03-06 17:14:59,2.17263215061e-07,4.79656252892e-09,3.63610574727e-09,3.63610574727e-09
2020-03-06 17:29:59,2.29607581094e-07,5.58575959943e-09,4.61372140064e-09,4.61372140064e-09
2020-03-06 17:44:59,2.1818301524e-07,4.91583734941e-09,3.94363959756e-09,3.94363959756e-09
2020-03-06 17:59:59,2.04241192868e-07,4.47446419935e-09,3.23912931522e-09,3.23912931522e-09
2020-03-06 18:14:59,2.0641590937e-07,5.19460796395e-09,4.07068731537e-09,4.07068731537e-09
2020-03-06 18:29:59,2.10006446378e-07,5.79872528324e-09,4.76935807372e-09,4.76935807372e-09
2020-03-06 18:44:59,2.0882606775e-07,4.12908631889e-09,3.29235715692e-09,3.29235715692e-09
2020-03-06 18:59:59,1.95069098475e-07,5.95425988367e-09,5.25134439939e-09,5.25134439939e-09
2020-03-06 19:14:59,1.87542718181e-07,6.54009552473e-09,5.89857597598e-09,5.89857597598e-09
2020-03-06 19:29:59,1.89968478876e-07,5.40068110269e-09,4.43908354334e-09,4.43908354334e-09
2020-03-06 19:44:59,1.94359162862e-07,8.55325990017e-09,7.48941657264e-09,7.48941657264e-09
2020-03-06 19:59:59,2.01865943097e-07,8.96469577223e-09,7.82453046021e-09,7.82453046021e-09
2020-03-06 20:14:59,2.0659824368e-07,1.22365450576e-08,1.13821477953e-08,1.13821477953e-08
2020-03-06 20:29:59,2.03837065754e-07,1.39767643157e-08,1.33556361015e-08,1.33556361015e-08
2020-03-06 20:44:59,2.04620769832e-07,7.07035734122e-09,5.52401685129e-09,5.52401685129e-09
2020-03-06 20:59:59,1.87221158548e-07,8.02046597112e-09,6.59366404218e-09,6.59366404218e-09
2020-03-06 21:14:59,1.8660446779e-07,7.84427563462e-09,6.37667120047e-09,6.37667120047e-09
2020-03-06 21:29:59,1.90625234318e-07,8.07515293566e-09,6.43346096343e-09,6.43346096343e-09
2020-03-06 21:44:59,1.87575826959e-07,8.91698235115e-09,7.17210553822e-09,7.17210553822e-09
2020-03-06 21:59:59,1.90622566046e-07,8.43734739872e-09,6.74713967467e-09,6.74713967467e-09
2020-03-06 22:14:59,1.99014355908e-07,9.84248835988e-09,8.10132813781e-09,8.10132813781e-09
2020-03-06 22:29:59,1.90445588998e-07,1.01121673105e-08,8.46543970484e-09,8.46543970484e-09
2020-03-06 22:44:59,1.88470536067e-07,9.41684386533e-09,7.6096542465e-09,7.6096542465e-09
2020-03-06 22:59:59,1.88695260609e-07,1.09448502846e-08,8.75857170166e-09,8.75857170166e-09
2020-03-06 23:14:59,1.95406043992e-07,1.51374715741e-08,1.31033554939e-08,1.31033554939e-08
2020-03-06 23:29:59,1.94455935717e-07,1.06355235917e-08,8.51941891826e-09,8.51941891826e-09
2020-03-06 23:44:59,1.99639138714e-07,1.25077815536e-08,1.13799653234e-08,1.13799653234e-08
2020-03-06 23:59:59,1.87818705915e-07,1.78151503431e-08,1.71857072501e-08,1.71857072501e-08
2020-03-07 00:14:59,1.84384729598e-07,8.77516872597e-09,6.74624592303e-09,6.74624592303e-09
2020-03-07 00:29:59,1.93451046235e-07,1.22239159269e-08,7.35315698253e-09,7.35315698253e-09
2020-03-07 00:44:59,1.84082779743e-07,1.25851685765e-08,8.49768098282e-09,8.49768098282e-09
2020-03-07 00:59:59,1.77113062753e-07,8.86971406087e-09,6.9639013824e-09,6.9639013824e-09
2020-03-07 01:14:59,1.78428526231e-07,7.79479340891e-09,6.02221268525e-09,6.02221268525e-09
2020-03-07 01:29:59,1.74636802299e-07,9.29523478175e-09,6.99866300013e-09,6.99866300013e-09
2020-03-07 01:44:59,1.72373288234e-07,1.16588634747e-08,8.98061764759e-09,8.98061764759e-09
2020-03-07 01:59:59,1.90766878113e-07,9.65014272284e-09,7.90729462367e-09,7.90729462367e-09
2020-03-07 02:14:59,1.9166789722e-07,7.18066705814e-09,5.51488629181e-09,5.51488629181e-09
2020-03-07 02:29:59,1.87327041209e-07,8.04570575961e-09,6.57049662417e-09,6.57049662417e-09
2020-03-07 02:44:59,1.78580448982e-07,8.12394123232e-09,6.91129978319e-09,6.91129978319e-09
2020-03-07 02:59:59,1.82778607091e-07,6.49799901692e-09,5.2396606813e-09,5.2396606813e-09
